LAU2 Code;National Code;LAU2 name;LAU2 name LATIN;NUTS-3;NUTS-3 LATIN
DK8900;8900;Bramming;Bramming;DK032 - Sydjylland;null
DK8903;8903;Jernved;Jernved;DK032 - Sydjylland;null
DK8904;8904;Aalestrup;Aalestrup;DK050 - Nordjylland;null
DK8905;8905;Vor Frelsers;Vor Frelsers;DK032 - Sydjylland;null
DK8915;8915;Årre;Årre;DK032 - Sydjylland;null
DK8917;8917;Tjæreborg;Tjæreborg;DK032 - Sydjylland;null
DK8923;8923;Nordby;Nordby;DK032 - Sydjylland;null
DK8926;8926;Brørup;Brørup;DK032 - Sydjylland;null
DK8927;8927;Holsted;Holsted;DK032 - Sydjylland;null
DK8928;8928;Føvling;Føvling;DK032 - Sydjylland;null
DK8931;8931;Vejen;Vejen;DK032 - Sydjylland;null
DK8934;8934;Bække;Bække;DK032 - Sydjylland;null
DK8936;8936;Jordrup;Jordrup;DK032 - Sydjylland;null
DK8938;8938;Gesten;Gesten;DK032 - Sydjylland;null
DK8939;8939;Skanderup;Skanderup;DK032 - Sydjylland;null
DK8942;8942;Grindsted;Grindsted;DK032 - Sydjylland;null
DK8943;8943;Grene;Grene;DK032 - Sydjylland;null
DK8944;8944;Vorbasse;Vorbasse;DK032 - Sydjylland;null
DK8945;8945;Hejnsvig;Hejnsvig;DK032 - Sydjylland;null
DK8946;8946;Gram;Gram;DK032 - Sydjylland;null
DK8949;8949;Rødding;Rødding;DK032 - Sydjylland;null
DK8956;8956;Agerskov;Agerskov;DK032 - Sydjylland;null
DK8957;8957;Bevtoft;Bevtoft;DK032 - Sydjylland;null
DK8960;8960;Toftlund;Toftlund;DK032 - Sydjylland;null
DK8961;8961;Vor Frue;Vor Frue;DK032 - Sydjylland;null
DK8975;8975;Vojens;Vojens;DK032 - Sydjylland;null
DK8979;8979;Sommersted;Sommersted;DK032 - Sydjylland;null
DK8985;8985;Tyrstrup;Tyrstrup;DK032 - Sydjylland;null
DK8989;8989;Christians;Christians;DK032 - Sydjylland;null
DK8990;8990;Augustenborg;Augustenborg;DK032 - Sydjylland;null
DK8999;8999;Nordborg;Nordborg;DK032 - Sydjylland;null
DK9003;9003;Egen;Egen;DK032 - Sydjylland;null
DK9004;9004;Broager;Broager;DK032 - Sydjylland;null
DK9005;9005;Egernsund;Egernsund;DK032 - Sydjylland;null
DK9010;9010;Aabenraa;Aabenraa;DK032 - Sydjylland;null
DK9013;9013;Bjolderup;Bjolderup;DK032 - Sydjylland;null
DK9014;9014;Rise;Rise;DK032 - Sydjylland;null
DK9019;9019;Gråsten-Adsbøl;Gråsten-Adsbøl;DK032 - Sydjylland;null
DK9029;9029;Bov;Bov;DK032 - Sydjylland;null
DK9038;9038;Skærbæk;Skærbæk;DK032 - Sydjylland;null
DK9045;9045;Løgumkloster;Løgumkloster;DK032 - Sydjylland;null
DK9047;9047;Brede;Brede;DK032 - Sydjylland;null
DK9051;9051;Højer;Højer;DK032 - Sydjylland;null
DK9056;9056;Burkal;Burkal;DK032 - Sydjylland;null
DK9061;9061;Tinglev;Tinglev;DK032 - Sydjylland;null
DK9062;9062;Rømø;Rømø;DK032 - Sydjylland;null
DK9064;9064;Øster Hassing;Øster Hassing;DK050 - Nordjylland;null
DK9067;9067;Vamdrup;Vamdrup;DK032 - Sydjylland;null
DK9075;9075;Aarup;Aarup;DK031 - Fyn;null
DK9083;9083;Hedehusene;Hedehusene;DK012 - Københavns omegn;null
DK9086;9086;Hadsten;Hadsten;DK042 - Østjylland;null
DK9102;9102;Ulstrupbro;Ulstrupbro;DK042 - Østjylland;null
DK9104;9104;Ry;Ry;DK042 - Østjylland;null
DK9109;9109;Stensby;Stensby;DK022 - Vest- og Sydsjælland;null
DK9112;9112;Juelsminde;Juelsminde;DK042 - Østjylland;null
DK9122;9122;Tarm;Tarm;DK041 - Vestjylland;null
DK9125;9125;Ilderhede;Ilderhede;DK041 - Vestjylland;null
DK9134;9134;Opstandelseskirkens;Opstandelseskirkens;DK012 - Københavns omegn;null
DK9136;9136;Vodskov;Vodskov;DK050 - Nordjylland;null
DK9153;9153;Agerbæk;Agerbæk;DK032 - Sydjylland;null
DK9157;9157;Gistrup;Gistrup;DK050 - Nordjylland;null
DK9166;9166;Skanderborg;Skanderborg;DK042 - Østjylland;null
DK9167;9167;Ørnhøj;Ørnhøj;DK041 - Vestjylland;null
DK9171;9171;Ebeltoft-Dråby-Handrup;Ebeltoft-Dråby-Handrup;DK042 - Østjylland;null
DK9172;9172;Hvide Sande;Hvide Sande;DK041 - Vestjylland;null
DK9174;9174;Vor Frue;Vor Frue;DK011 - Byen København;null
DK9176;9176;Hjembæk-Svinninge;Hjembæk-Svinninge;DK022 - Vest- og Sydsjælland;null
DK9178;9178;Tønder;Tønder;DK032 - Sydjylland;null
DK9179;9179;Kollerup-Fjerritslev;Kollerup-Fjerritslev;DK050 - Nordjylland;null
DK9179;9179;Skamstrup-Frydendal;Skamstrup-Frydendal;DK022 - Vest- og Sydsjælland;null
DK9184;9184;Arden;Arden;DK050 - Nordjylland;null
DK9185;9185;Vesterbro;Vesterbro;DK011 - Byen København;null
DK9202;9202;Vinderup;Vinderup;DK041 - Vestjylland;null
DK9217;9217;Terndrup;Terndrup;DK050 - Nordjylland;null
DK9226;9226;Østervrå;Østervrå;DK050 - Nordjylland;null
DK9230;9230;Jerup;Jerup;DK050 - Nordjylland;null
DK9243;9243;Villingerød;Villingerød;DK013 - Nordsjælland;null
DK9269;9269;Hovborg;Hovborg;DK032 - Sydjylland;null
DK9271;9271;Mosevrå;Mosevrå;DK032 - Sydjylland;null
DK9286;9286;Vonge;Vonge;DK032 - Sydjylland;null
DK9291;9291;Ål;Ål;DK032 - Sydjylland;null
DK9292;9292;Vipperød;Vipperød;DK022 - Vest- og Sydsjælland;null
