Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Hæst;By;Trige;8071;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Hæst;By;Trige;8071;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Hæst;By;Grundfør;8067;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Hæstrup;Sogn;NULL;;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Hede;Spredt bebyggelse;Hæstrup;8405;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Hede;Spredt bebyggelse;Vrejlev;8404;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Mejeriby;By;Hæstrup;8405;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Mølleby;Bydel;Hæstrup;8405;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Mølleby;Bydel;Vrejlev;8404;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Møllebæk;Bæk;Hæstrup;8405;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Møllebæk;Bæk;Vrejlev;8404;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Møllebæk;Bæk;Bistrup;9101;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Møllebæk;Bæk;Sankt Hans;8455;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæstrup Stationsby;By;Rakkeby;8475;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hæsum;By;Øster Hornum;8334;Rebild;840;Region Nordjylland;1081;23. maj 2013
