Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Abbetved;By;Kirke Såby;7175;Lejre;350;Region Sjælland;1085;23. maj 2013
Abed;By;Stokkemarke;7639;Lolland;360;Region Sjælland;1085;23. maj 2013
Abelshoved;Pynt;Sankt Pauls;8118;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Abild;By;Abild;9041;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abild;Sogn;NULL;;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abild Mark;Spredt bebyggelse;Abild;9041;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abildgård;Anden større gård/Proprietærgård;Fjelstrup;8982;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Abildgård;Sogn;NULL;;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Abildgård Mark;Spredt bebyggelse;Grurup;8688;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildgårde;Spredt bebyggelse;Øster Hornum;8334;Rebild;840;Region Nordjylland;1081;23. maj 2013
Abildhave;Spredt bebyggelse;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildhede;By;Øse;8910;Varde;573;Region Syddanmark;1083;23. maj 2013
Abildholt;By;Borbjerg;8821;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Abildkær;Hede;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildkær;Hede;Hunstrup;8645;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildro;By;Skovby;7857;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Abildskov;By;Funder;8611;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Abildskov;Spredt bebyggelse;Nørre Broby;7754;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Abildtorpe;Spredt bebyggelse;Stormark;7672;Lolland;360;Region Sjælland;1085;23. maj 2013
Abildtrup;Spredt bebyggelse;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildøre;By;Egebjerg;7264;Odsherred;306;Region Sjælland;1085;23. maj 2013
Abildå;By;Ørnhøj;9167;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Ørnhøj;9167;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Ørnhøj;9167;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Timring;8796;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Timring;8796;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Videbæk;8769;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Videbæk;8769;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Brejning;8755;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Vorgod;8766;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Brejning;8755;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abkær;By;Vedsted;8980;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Abkær Mose;Mose/Sump;Vedsted;8980;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Aborg;By;Gamtofte;7804;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborg Minde;Spredt bebyggelse;Gamtofte;7804;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborg Minde;Sø ID;Sandager;7808;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborrebjerg;Bakke;Magleby;7489;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Abterp;By;Brede;9047;Tønder;550;Region Syddanmark;1083;23. maj 2013
Adamsgave;Anden større gård/Proprietærgård;Branderslev;7671;Lolland;360;Region Sjælland;1085;23. maj 2013
Adamshøj;By;Kværkeby;7370;Ringsted;329;Region Sjælland;1085;23. maj 2013
Adbøl;Spredt bebyggelse;Vestervig;8648;Thisted;787;Region Nordjylland;1081;23. maj 2013
Addit;By;Sønder Vissing;7989;Horsens;615;Region Midtjylland;1082;23. maj 2013
Adeleng;Ager/Mark;Janderup;8874;Varde;573;Region Syddanmark;1083;23. maj 2013
Adeleng;Ager/Mark;Varde;8873;Varde;573;Region Syddanmark;1083;23. maj 2013
Adelsvejsvang;Spredt bebyggelse;Vilslev;8901;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Adelsvejsvang;Spredt bebyggelse;Hjortlund;8890;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Adelvad;Spredt bebyggelse;Højst;9058;Tønder;550;Region Syddanmark;1083;23. maj 2013
Adsbøl;By;Gråsten-Adsbøl;9019;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Adsbøl;Spredt bebyggelse;Strellev;8787;Varde;573;Region Syddanmark;1083;23. maj 2013
Adsersbøl;Spredt bebyggelse;Lindknud;8925;Vejen;575;Region Syddanmark;1083;23. maj 2013
Adslev;By;Adslev;8013;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Adslev;Sogn;NULL;;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Adslev Hede;Spredt bebyggelse;Adslev;8013;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Adventskirkens;Sogn;NULL;;København;101;Region Hovedstaden;1084;23. maj 2013
Aflandshage;Pynt;Store Magleby;7192;Dragør;155;Region Hovedstaden;1084;23. maj 2013
Agdrup;Anden større gård/Proprietærgård;Sulsted;8381;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Agdrup;Spredt bebyggelse;Brønderslev;8402;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agdrup;Spredt bebyggelse;Tolstrup;8412;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agdrup Kær;Spredt bebyggelse;Sulsted;8381;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Agedrup;Bydel;Agedrup;7868;Odense;461;Region Syddanmark;1083;23. maj 2013
Agedrup;Sogn;NULL;;Odense;461;Region Syddanmark;1083;23. maj 2013
Agentoft;Anden større gård/Proprietærgård;Jels;8977;Vejen;575;Region Syddanmark;1083;23. maj 2013
Ager By;By;Hvidbjerg;8702;Morsø;773;Region Nordjylland;1081;23. maj 2013
Ager Vejle;By;Hvidbjerg;8702;Morsø;773;Region Nordjylland;1081;23. maj 2013
Agerbo;Spredt bebyggelse;Sønder Lem;8770;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Agerbæk;By;Agerbæk;9153;Varde;573;Region Syddanmark;1083;23. maj 2013
Agerbæk;Sogn;NULL;;Varde;573;Region Syddanmark;1083;23. maj 2013
Agerbæk;Spredt bebyggelse;Sahl;8832;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Agerfeld;By;Vinding;8747;Herning;657;Region Midtjylland;1082;23. maj 2013
Agerholm;Spredt bebyggelse;Vester Vandet;8736;Thisted;787;Region Nordjylland;1081;23. maj 2013
Agerkrog;Spredt bebyggelse;Tistrup;8870;Varde;573;Region Syddanmark;1083;23. maj 2013
Agerledet;Bydel;Volstrup;8443;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Agerledet;Bydel;Sindal;8459;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Agermose;By;Diernæs;7696;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Agernæs;By;Krogsbølle;7848;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Agernæs;Halvø;Dreslette;7820;Assens;420;Region Syddanmark;1083;23. maj 2013
Agernæs;Pynt;Krogsbølle;7848;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Agernæs;Spredt bebyggelse;Dreslette;7820;Assens;420;Region Syddanmark;1083;23. maj 2013
Agernæsgård;Anden større gård/Proprietærgård;Krogsbølle;7848;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Agersbæk;By;Hee;8752;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Agersbøl;Spredt bebyggelse;Sindbjerg;7899;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Agersende;Bydel;Nees;8850;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Agersig;Spredt bebyggelse;Assing;8809;Herning;657;Region Midtjylland;1082;23. maj 2013
Agerskov;By;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Agerskov;By;Hygum;8859;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Agerskov;Sogn;NULL;;Tønder;550;Region Syddanmark;1083;23. maj 2013
Agerskov;Spredt bebyggelse;Finderup;8535;Viborg;791;Region Midtjylland;1082;23. maj 2013
Agerskov;Spredt bebyggelse;Ilskov;8801;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Agerskov;Spredt bebyggelse;Gjellerup;8799;Herning;657;Region Midtjylland;1082;23. maj 2013
Agerskov Hede;Spredt bebyggelse;Ilskov;8801;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Agerskov Vesterhede;By;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Agersnap;Spredt bebyggelse;Ølgod;8871;Varde;573;Region Syddanmark;1083;23. maj 2013
Agersnap Bæk;Bæk;Ølgod;8871;Varde;573;Region Syddanmark;1083;23. maj 2013
Agersted;By;Agersted;9156;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agersted;Sogn;NULL;;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agersted Bakker;Bakke;Agersted;9156;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agersted Fælled;Spredt bebyggelse;Agersted;9156;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agerstedskov;Spredt bebyggelse;Agersted;9156;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Agersvold;Herregård;Hjembæk;7297;Holbæk;316;Region Sjælland;1085;23. maj 2013
Agersø;By;Agersø;7326;Slagelse;330;Region Sjælland;1085;23. maj 2013
Agersø;Sogn;NULL;;Slagelse;330;Region Sjælland;1085;23. maj 2013
Agersø;Ø;Agersø;7326;Slagelse;330;Region Sjælland;1085;23. maj 2013
Agerup;By;Hyllinge;7335;Næstved;370;Region Sjælland;1085;23. maj 2013
Agerup;Spredt bebyggelse;Besser;7241;Samsø;741;Region Midtjylland;1082;23. maj 2013
Agerup;Spredt bebyggelse;Soderup;7286;Holbæk;316;Region Sjælland;1085;23. maj 2013
Agerupgård;Herregård;Våbensted;7644;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Agervig;Spredt bebyggelse;Næsbjerg;8911;Varde;573;Region Syddanmark;1083;23. maj 2013
Agerø;Sogn;NULL;;Morsø;773;Region Nordjylland;1081;23. maj 2013
Agerø;Ø;Hvidbjerg;8702;Morsø;773;Region Nordjylland;1081;23. maj 2013
Aggebo;Spredt bebyggelse;Valby;7435;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Aggebo Hegn;Skov/Plantage;Græsted;7432;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Aggebo Hegn;Skov/Plantage;Valby;7435;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Aggebo Skovhuse;Spredt bebyggelse;Græsted;7432;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Aggebo Skovhuse;Spredt bebyggelse;Valby;7435;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Agger;By;Vestervig;8648;Thisted;787;Region Nordjylland;1081;23. maj 2013
Agger;By;Agger;8649;Thisted;787;Region Nordjylland;1081;23. maj 2013
Agger;Sogn;NULL;;Thisted;787;Region Nordjylland;1081;23. maj 2013
Agger Tange;Tange;Agger;8649;Thisted;787;Region Nordjylland;1081;23. maj 2013
Aggerhus;Spredt bebyggelse;Bjolderup;9013;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Aggersborg;By;Lendum;9063;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Aggersborg;By;Aggersborg;8399;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Aggersborg;Sogn;NULL;;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Aggersund;By;Aggersborg;8399;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Aggersund;Sund;NULL;;NULL;0;NULL;;23. maj 2013
Aggersundbroen;Vejbro;Aggersborg;8399;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Aggersundbroen;Vejbro;Næsborg;8358;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Aggerup;By;Endeslev;7546;Stevns;336;Region Sjælland;1085;23. maj 2013
Aggerup;By;Kisserup;7176;Lejre;350;Region Sjælland;1085;23. maj 2013
Aggestrup;By;Gangsted;8050;Horsens;615;Region Midtjylland;1082;23. maj 2013
Agremølle;Bydel;Nyker;7556;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Agri;By;Agri;8254;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Agri;Sogn;NULL;;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Agsø;Sø ID;Ensted;9022;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Agtrup;Bydel;Sønder Bjert;7942;Kolding;621;Region Syddanmark;1083;23. maj 2013
Agtrup Vig;Bugt;NULL;;NULL;0;NULL;;23. maj 2013
Agtrupskov;Spredt bebyggelse;Sønder Bjert;7942;Kolding;621;Region Syddanmark;1083;23. maj 2013
Agtrupvig;By;Sønder Bjert;7942;Kolding;621;Region Syddanmark;1083;23. maj 2013
Ahl;Sommerhusbebyggelse;Ebeltoft-Dråby-Handrup;9171;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Ahl Hage;Pynt;Ebeltoft-Dråby-Handrup;9171;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Ahl Plantage;Skov/Plantage;Ebeltoft-Dråby-Handrup;9171;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Ahler Gårde;Spredt bebyggelse;Sønder Borris;8777;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Aidt;By;Aidt;8490;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Aidt;Sogn;NULL;;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Aidt Hede;Spredt bebyggelse;Aidt;8490;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Ajke;Spredt bebyggelse;Gørding;8895;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Ajstrup;By;Falslev-Vindblæs;9173;Mariagerfjord;846;Region Nordjylland;1081;23. maj 2013
Ajstrup;By;Ajstrup;8382;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Ajstrup;By;Malling;8110;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Ajstrup;By;Ugilt;8457;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Ajstrup;Sogn;NULL;;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Ajstrup;Spredt bebyggelse;Kobberup;8499;Skive;779;Region Midtjylland;1082;23. maj 2013
Ajstrup Hede;Spredt bebyggelse;Ajstrup;8382;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Ajstrup Strand;Sommerhusbebyggelse;Malling;8110;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Akkerup;By;Haarby;7819;Assens;420;Region Syddanmark;1083;23. maj 2013
Akselhavn;Bugt;NULL;;NULL;0;NULL;;23. maj 2013
Akselholm;By;Holmstrup;7300;Holbæk;316;Region Sjælland;1085;23. maj 2013
Akselterp;By;Astrup;8311;Mariagerfjord;846;Region Nordjylland;1081;23. maj 2013
Akær;Spredt bebyggelse;Ulsted;8386;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Akær Bæk;Bæk;Ulsted;8386;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Albertslund;By;Herstedøster;7148;Albertslund;165;Region Hovedstaden;1084;23. maj 2013
Albertslund;By;Herstedvester;7155;Albertslund;165;Region Hovedstaden;1084;23. maj 2013
Albertslund;By;Opstandelseskirkens;9134;Albertslund;165;Region Hovedstaden;1084;23. maj 2013
Albertslund;Kommune;NULL;;NULL;0;Region Hovedstaden;1084;23. maj 2013
Albertsløkke;Bydel;Bregninge;7717;Ærø;492;Region Syddanmark;1083;23. maj 2013
Albertsløkke;Bydel;Søby;7718;Ærø;492;Region Syddanmark;1083;23. maj 2013
Albjerg;By;Oure;7719;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Albuen;Bugt;NULL;;NULL;0;NULL;;23. maj 2013
Albuen;Halvø;Kappel;7629;Lolland;360;Region Sjælland;1085;23. maj 2013
Albæk;By;Albæk;8212;Randers;730;Region Midtjylland;1082;23. maj 2013
Albæk;By;Skjern;8765;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Albæk;By;Snejbjerg;8804;Herning;657;Region Midtjylland;1082;23. maj 2013
Albæk;By;Rimsø;8240;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Albæk;By;Albæk-Lyngså;8447;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Albæk;Bæk;Hune;8425;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Albæk;Bæk;Jetsmark;8424;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Albæk;Bæk;Mejrup;8819;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Albæk;Bæk;Borbjerg;8821;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Albæk;Bæk;Saltum;8422;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Albæk;Sogn;NULL;;Randers;730;Region Midtjylland;1082;23. maj 2013
Albæk Gårde;Spredt bebyggelse;Albæk-Lyngså;8447;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Albæk Hede;Spredt bebyggelse;Assing;8809;Herning;657;Region Midtjylland;1082;23. maj 2013
Albæk Hedehuse;Spredt bebyggelse;Suldrup;8340;Rebild;840;Region Nordjylland;1081;23. maj 2013
Albæk Hoved;Pynt;Klakring;7959;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Albæk Mark;Spredt bebyggelse;Suldrup;8340;Rebild;840;Region Nordjylland;1081;23. maj 2013
Albæk-Lyngså;Sogn;NULL;;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Albøge;By;Albøge;8171;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Albøge;Sogn;NULL;;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Alderslyst;Bydel;Viby;8100;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Alderslyst;Bydel;Alderslyst;8019;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Alderslyst;Sogn;NULL;;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Aldersro;Anden større gård/Proprietærgård;Værslev;7253;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Aldersro;Sogn;NULL;;København;101;Region Hovedstaden;1084;23. maj 2013
Aldrup;Spredt bebyggelse;Hvorslev;8486;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Aldrup;Spredt bebyggelse;Kollerup;8709;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Algestrup;By;Tølløse;7284;Holbæk;316;Region Sjælland;1085;23. maj 2013
Algestrup;By;Vipperød;9292;Holbæk;316;Region Sjælland;1085;23. maj 2013
Algestrup;By;Maglebrænde;7608;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Algestrup;By;Sædder;7541;Faxe;320;Region Sjælland;1085;23. maj 2013
Algestrup;By;Sædder;7541;Køge;259;Region Sjælland;1085;23. maj 2013
Algestrup;Herregård;Føllenslev;7247;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Alhale;Halvø;Alrø;8099;Odder;727;Region Midtjylland;1082;23. maj 2013
Alhede;Ager/Mark;Frederiks;8602;Viborg;791;Region Midtjylland;1082;23. maj 2013
Alken;By;Dover;8014;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Alkær;Eng;Strellev;8787;Varde;573;Region Syddanmark;1083;23. maj 2013
Alkærlund;Spredt bebyggelse;Brande;7974;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Alkærsig;Spredt bebyggelse;Skjern;8765;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Alkærsig;Spredt bebyggelse;Dejbjerg;8772;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Alle;Spredt bebyggelse;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Alleenborg;Anden større gård/Proprietærgård;Utterslev;7621;Lolland;360;Region Sjælland;1085;23. maj 2013
Allehelgens;Sogn;NULL;;København;101;Region Hovedstaden;1084;23. maj 2013
Alléhuse;By;Krogsbølle;7848;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Alléhusene;By;Blovstrød;7449;Allerød;201;Region Hovedstaden;1084;23. maj 2013
Allehøje;Bakke;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Allehøje;Bakke;Vorgod;8766;Herning;657;Region Midtjylland;1082;23. maj 2013
Allehøje;Bakke;Havnstrup;8807;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Allehøje;Bakke;Havnstrup;8807;Herning;657;Region Midtjylland;1082;23. maj 2013
Allelev;By;Lyngby;8170;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Allelevsund;Spredt bebyggelse;Lyngby;8170;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Aller;By;Aller;8981;Kolding;621;Region Syddanmark;1083;23. maj 2013
Aller;Sogn;NULL;;Kolding;621;Region Syddanmark;1083;23. maj 2013
Aller;Sogn;NULL;;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Allerslev;By;Allerslev;7476;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Allerslev;Bydel;Allerslev;7172;Lejre;350;Region Sjælland;1085;23. maj 2013
Allerslev;Sogn;NULL;;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Allerslev;Sogn;NULL;;Lejre;350;Region Sjælland;1085;23. maj 2013
Allerslev;Spredt bebyggelse;Outrup;8877;Varde;573;Region Syddanmark;1083;23. maj 2013
Allerup;By;Allerup;7880;Odense;461;Region Syddanmark;1083;23. maj 2013
Allerup;By;Sønder Broby;7755;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allerup;By;Toftlund;8960;Tønder;550;Region Syddanmark;1083;23. maj 2013
Allerup;By;Hellevad;8449;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Allerup;By;Sneum;8916;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Allerup;Bydel;Tveje Merløse;7275;Holbæk;316;Region Sjælland;1085;23. maj 2013
Allerup;Bydel;Tuse;7277;Holbæk;316;Region Sjælland;1085;23. maj 2013
Allerup;Bydel;Søstrup;7281;Holbæk;316;Region Sjælland;1085;23. maj 2013
Allerup;Sogn;NULL;;Odense;461;Region Syddanmark;1083;23. maj 2013
Allerup Bakker;Højdedrag;Hellum;8417;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Allerup Bakker;Højdedrag;Hellum;8417;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Allerup Bakker;Højdedrag;Skæve;8446;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Allerup Bakker;Højdedrag;Hellevad;8449;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Allerup Bakker;Højdedrag;Hellevad;8449;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Allerup Bakker;Højdedrag;Skæve;8446;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Allerup Enge;Ager/Mark;Sneum;8916;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Allerup Knolde;By;Allerup;7880;Odense;461;Region Syddanmark;1083;23. maj 2013
Allerup Mark;Spredt bebyggelse;Toftlund;8960;Tønder;550;Region Syddanmark;1083;23. maj 2013
Allerup Torup;By;Allerup;7880;Odense;461;Region Syddanmark;1083;23. maj 2013
Alleruphave;Spredt bebyggelse;Sønder Broby;7755;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allerød;Bydel;Blovstrød;7449;Allerød;201;Region Hovedstaden;1084;23. maj 2013
Allerød;Bydel;Lillerød;7450;Allerød;201;Region Hovedstaden;1084;23. maj 2013
Allerød;Kommune;NULL;;NULL;0;Region Hovedstaden;1084;23. maj 2013
Allese;By;Allese;7845;Odense;461;Region Syddanmark;1083;23. maj 2013
Allese;Sogn;NULL;;Odense;461;Region Syddanmark;1083;23. maj 2013
Allesgårde;By;Glud;7962;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Alleshave;Spredt bebyggelse;Bregninge;7249;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Alleskoven;Skov/Plantage;Diernæs;7696;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allested;By;Allested;7752;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allested;Sogn;NULL;;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allestedskov;Spredt bebyggelse;Allested;7752;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Allestrup;By;Vejlby;8266;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Allestrup;Spredt bebyggelse;Grynderup;8293;Rebild;840;Region Nordjylland;1081;23. maj 2013
Allikebakke;Bydel;Nødebo;7429;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Allikebakke;Bydel;Mårum;7433;Hillerød;219;Region Hovedstaden;1084;23. maj 2013
Allikebakke;Bydel;Mårum;7433;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Allikebakke;Bydel;Nødebo;7429;Hillerød;219;Region Hovedstaden;1084;23. maj 2013
Allikegårde;By;Ringsted;7363;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindelille;By;Haraldsted;7365;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindelille Old;Spredt bebyggelse;Haraldsted;7365;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindemagle;By;Allindemagle;7366;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindemagle;Sogn;NULL;;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindemagle Ø;By;Allindemagle;7366;Ringsted;329;Region Sjælland;1085;23. maj 2013
Allindemaglegård;Herregård;Allindemagle;7366;Ringsted;329;Region Sjælland;1085;23. maj 2013
Alling;By;Alling;8033;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Alling;Sogn;NULL;;Skanderborg;746;Region Midtjylland;1082;23. maj 2013
Alling Sø;Sø ID;Svostrup;8607;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Alling Sø;Sø ID;Grønbæk;8596;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Nørre Galten;8141;Randers;730;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Nørre Galten;8141;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Nørre Galten;8141;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Nørre Galten;8141;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Vejlby;8266;Randers;730;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Vejlby;8266;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Vejlby;8266;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Alling Å;Å;Vejlby;8266;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
